"Search query: ""sex differences"" AND ""brain"""
Year,Count
2023,304
2022,923
2021,884
2020,828
2019,665
2018,568
2017,531
2016,430
2015,357
2014,356
2013,318
2012,223
2011,243
2010,220
2009,212
2008,178
2007,152
2006,141
2005,134
2004,95
2003,94
2002,98
2001,76
2000,77
1999,75
1998,70
1997,70
1996,71
1995,56
1994,49
1993,40
1992,53
1991,62
1990,64
1989,41
1988,44
1987,31
1986,32
1985,40
1984,34
1983,20
1982,29
1981,26
1980,15
1979,14
1978,11
1977,14
1976,10
1975,4
1974,8
1973,6
1971,3
1970,1
1968,1
1967,1
1965,1
1964,2
1963,1
